				
Time	keytime	target	cy	hy
1034.23	47.79014	-1	-24.40015	-22.61139
1034.259	47.80014	-1	-24.22495	-22.42273
1034.29	47.81013	-1	-23.93219	-22.05103
1034.333	47.82013	-1	-23.50711	-21.66238
1034.363	47.83013	-1	-23.15082	-21.19131
1034.392	47.84013	-1	-22.94885	-21.10046
1037.436	47.85612	3	-0.3805542	1.527948
1037.464	47.86612	3	-0.3917542	1.433742
1037.494	47.87611	3	-0.394989	1.444196
1037.525	47.88942	3	-0.3874207	1.485103
1037.561	47.90665	3	-0.3780823	1.485039
1037.589	47.91665	3	-0.3678284	1.476451
1037.636	47.93042	3	-0.3383484	1.48111
1037.657	47.94458	3	-0.3128662	1.61652
1037.695	47.95458	3	-0.3051147	1.629593
1037.737	47.97148	3	-0.2532959	1.644435
1037.763	47.98148	3	-0.1826477	1.728203
1037.795	47.99147	3	0.06229223	2.064731
1037.837	48.00796	3	0.940038	2.810572
1037.86	48.01796	3	1.502496	3.493891
1037.9	48.02795	3	2.779906	4.654355
1037.931	48.03795	3	4.834474	6.74134
1037.964	48.06084	3	6.754151	8.751077
1038.008	48.07084	3	9.170279	11.44969
1038.035	48.08084	3	11.16132	13.63502
1038.079	48.09084	3	13.51262	15.70825
1038.094	48.10084	3	18.28394	20.37918
1038.139	48.11084	3	21.69152	23.82094
1038.167	48.12083	3	24.32365	26.44441
1038.196	48.13083	3	26.93373	29.0174
1038.232	48.15697	3	33.05736	35.1198
1038.276	48.16697	3	35.36546	37.6824
1038.302	48.17697	3	37.57485	39.89559
1038.329	48.18697	3	39.68535	42.30042
1038.37	48.21343	3	45.35249	47.44413
1038.412	48.22343	3	47.38773	49.53757
1038.437	48.23343	3	49.5749	52.20391
1038.463	48.24343	3	50.8741	54.08231
1038.489	48.25343	3	53.71283	55.90241
1038.545	48.26342	3	57.18024	59.28203
1038.572	48.27342	3	59.77245	61.39198
1038.6	48.28342	3	60.60143	62.71045
1038.637	48.30819	3	61.45123	65.07294
1038.678	48.31819	3	61.45123	67.06481
1038.705	48.32819	3	61.45123	67.38287
1038.733	48.33819	3	61.45123	67.93424
1038.771	48.36304	3	61.45123	69.40302
1038.795	48.39063	3	61.45123	70.03769
1038.839	48.40063	3	61.45123	70.86326
1038.866	48.41063	3	61.45123	71.51878
1038.895	48.42062	3	61.45123	72.6323
1038.931	48.44454	3	61.45123	73.83215
