Time	keytime	target id	target_lon	target_lat	target_y	target_z	target_x	hmd_rx	hmd_ry	hmd_rz	
107.822	9.408627	3	120	0	0	-0.5000001	-0.8660254	-0.007200144	0.006502896	-0.006902481	
107.828	9.418239	3	120	0	0	-0.5000001	-0.8660254	-0.007154894	0.006494608	-0.006888389	
107.839	9.424559	3	120	0	0	-0.5000001	-0.8660254	-0.00711095	0.006495835	-0.006886179	
107.846	9.436223	3	120	0	0	-0.5000001	-0.8660254	-0.007063366	0.006495641	-0.006881355	
107.856	9.4432	3	120	0	0	-0.5000001	-0.8660254	-0.007032617	0.00650235	-0.00688605	
107.864	9.453515	3	120	0	0	-0.5000001	-0.8660254	-0.007008113	0.006510531	-0.006892839	
107.874	9.460554	3	120	0	0	-0.5000001	-0.8660254	-0.007004939	0.006517651	-0.006900443	
107.880	9.469631	3	120	0	0	-0.5000001	-0.8660254	-0.007011744	0.006524564	-0.006908743	
107.891	9.477557	3	120	0	0	-0.5000001	-0.8660254	-0.007031037	0.006531311	-0.006918028	
107.897	9.486448	3	120	0	0	-0.5000001	-0.8660254	-0.007080841	0.00653581	-0.006927686	
107.908	9.493903	3	120	0	0	-0.5000001	-0.8660254	-0.007119142	0.006537141	-0.006932775	
107.914	9.503967	3	120	0	0	-0.5000001	-0.8660254	-0.007207952	0.006537329	-0.006942065	
107.925	9.511379	3	120	0	0	-0.5000001	-0.8660254	-0.007293132	0.006536	-0.006948167	
107.932	9.521098	3	120	0	0	-0.5000001	-0.8660254	-0.00740777	0.006536112	-0.006959493	
107.942	9.528074	3	120	0	0	-0.5000001	-0.8660254	-0.007478043	0.006539158	-0.006970331	
107.949	9.538932	3	120	0	0	-0.5000001	-0.8660254	-0.007627123	0.006541571	-0.006987497	
107.958	9.544509	3	120	0	0	-0.5000001	-0.8660254	-0.007705793	0.006540405	-0.006994233	
107.964	9.553393	3	120	0	0	-0.5000001	-0.8660254	-0.007818613	0.006537596	-0.007002776	
107.975	9.561407	3	120	0	0	-0.5000001	-0.8660254	-0.007938191	0.006539579	-0.007017534	
107.982	9.571826	3	120	0	0	-0.5000001	-0.8660254	-0.008099902	0.006550977	-0.007047497	
107.992	9.578699	3	120	0	0	-0.5000001	-0.8660254	-0.008235939	0.006567519	-0.007080727	
108.006	9.59184	3	120	0	0	-0.5000001	-0.8660254	-0.008460395	0.006618644	-0.007162699	
108.014	9.604134	3	120	0	0	-0.5000001	-0.8660254	-0.0087186	0.006696051	-0.00727878	
108.024	9.610644	3	120	0	0	-0.5000001	-0.8660254	-0.008914664	0.006752263	-0.007364837	
108.031	9.620901	3	120	0	0	-0.5000001	-0.8660254	-0.009208949	0.00682758	-0.007485104	
108.044	9.629135	3	120	0	0	-0.5000001	-0.8660254	-0.00949013	0.006890657	-0.007591389	
108.055	9.641118	3	120	0	0	-0.5000001	-0.8660254	-0.0100147	0.006984445	-0.007766167	
108.062	9.651547	3	120	0	0	-0.5000001	-0.8660254	-0.0105491	0.007052769	-0.007917853	
108.072	9.657912	3	120	0	0	-0.5000001	-0.8660254	-0.01090444	0.00709067	-0.008017548	
108.079	9.668976	3	120	0	0	-0.5000001	-0.8660254	-0.01177252	0.00715156	-0.008215819	
108.089	9.674893	3	120	0	0	-0.5000001	-0.8660254	-0.01226353	0.007167143	-0.008314183	
108.095	9.684564	3	120	0	0	-0.5000001	-0.8660254	-0.01317256	0.007169259	-0.008474945	
108.106	9.692863	3	120	0	0	-0.5000001	-0.8660254	-0.01397418	0.007153458	-0.008606336	
108.113	9.703165	3	120	0	0	-0.5000001	-0.8660254	-0.01505037	0.007111648	-0.008773597	
108.124	9.710403	3	120	0	0	-0.5000001	-0.8660254	-0.01596861	0.007075377	-0.008928759	
108.131	9.720553	3	120	0	0	-0.5000001	-0.8660254	-0.01717642	0.007034266	-0.009159002	
108.140	9.726441	3	120	0	0	-0.5000001	-0.8660254	-0.01792643	0.007023013	-0.009329159	
108.147	9.736404	3	120	0	0	-0.5000001	-0.8660254	-0.01921717	0.007020259	-0.009660816	
108.156	9.742697	3	120	0	0	-0.5000001	-0.8660254	-0.02000587	0.007039772	-0.00990052	
108.163	9.753116	3	120	0	0	-0.5000001	-0.8660254	-0.02134181	0.007114405	-0.01037741	
108.176	9.760668	3	120	0	0	-0.5000001	-0.8660254	-0.02243315	0.007218333	-0.01083923	
108.182	9.771774	3	120	0	0	-0.5000001	-0.8660254	-0.02380189	0.007384466	-0.01150292	
108.191	9.777589	3	120	0	0	-0.5000001	-0.8660254	-0.02467468	0.007513733	-0.01196134	
108.198	9.787765	3	120	0	0	-0.5000001	-0.8660254	-0.02621862	0.007745227	-0.01280583	
108.208	9.794752	3	120	0	0	-0.5000001	-0.8660254	-0.02752238	0.007919132	-0.01353769	
108.215	9.805367	3	120	0	0	-0.5000001	-0.8660254	-0.02925223	0.008149417	-0.01456123	
108.227	9.811505	3	120	0	0	-0.5000001	-0.8660254	-0.03033866	0.008285531	-0.01522527	
108.238	9.823041	3	120	0	0	-0.5000001	-0.8660254	-0.03263533	0.008497943	-0.01661494	
108.245	9.834588	3	120	0	0	-0.5000001	-0.8660254	-0.03507979	0.008638234	-0.0181066	
108.256	9.841047	3	120	0	0	-0.5000001	-0.8660254	-0.03633443	0.008687806	-0.01889356	
