Time	keytime	target	cy	hy	
17.142	10.88939	0	-14.06903	23.28531	
17.170	10.91722	0	-13.34573	23.27304	
17.188	10.93487	0	-12.25992	23.28665	
17.210	10.95702	0	-11.81332	23.28221	
17.228	10.97569	0	-11.33536	23.28851	
17.248	10.99587	0	-11.17886	23.29419	
17.271	11.01862	0	-11.07336	23.30096	
17.291	11.03806	0	-10.99719	23.29306	
17.310	11.0575	0	-10.71567	23.30268	
17.338	11.08548	0	-10.12039	23.29539	
17.361	11.10749	0	-8.354706	23.29792	
17.384	11.13134	0	-7.578247	23.29501	
17.402	11.14941	0	-6.785339	23.30071	
17.425	11.17182	0	-6.322968	23.30003	
17.444	11.19068	0	-5.166016	23.29378	
17.464	11.21142	0	-4.564484	23.29639	
17.493	11.24063	0	-5.007874	23.30103	
17.516	11.26324	0	-6.866425	23.28684	
17.536	11.28253	0	-9.592255	23.30622	
17.556	11.30268	0	-11.31281	23.30141	
17.576	11.32281	0	-13.58484	23.30127	
17.596	11.34317	0	-14.84201	23.30156	
17.635	11.38195	0	-16.56146	23.2851	
17.662	11.40934	0	-17.47571	23.29809	
17.683	11.43012	0	-18.88452	23.28667	
17.704	11.45102	0	-19.76886	23.29512	
17.722	11.46944	0	-20.73987	23.29122	
17.743	11.49067	0	-22.44733	23.29411	
17.766	11.51215	0	-23.67871	23.2934	
17.786	11.53241	0	-24.65887	23.2873	
17.811	11.55862	0	-24.87329	23.29144	
17.835	11.58228	0	-23.81525	23.30411	
17.855	11.60199	0	-20.47284	23.28733	
17.875	11.62271	0	-14.84818	23.29255	
17.897	11.64442	0	-10.11337	23.28706	
17.918	11.66523	0	-2.350372	23.27247	
17.935	11.68186	0	3.163192	23.27989	
17.957	11.70467	0	8.58827	23.29445	
17.986	11.73263	0	16.84881	23.29042	
18.007	11.75417	0	25.34676	23.28998	
18.027	11.77382	0	33.4913	23.29387	
18.049	11.7965	0	38.71541	23.2817	
18.068	11.81522	0	46.76886	23.28955	
18.089	11.83607	0	52.23643	23.29631	
18.109	11.8559	0	57.41099	23.28118	
18.138	11.88501	0	65.35059	23.29654	
18.161	11.90786	0	73.29077	23.29425	
18.180	11.92719	0	80.07318	23.28238	
18.202	11.94899	0	85.29572	23.30034	
18.222	11.96922	0	87.93181	23.29334	
18.241	11.98864	0	89.22	23.28942	
18.261	12.00838	0	88.80828	23.28855	
18.291	12.03808	0	86.90511	23.30072	
18.311	12.05851	0	78.62811	23.29601	
18.334	12.08099	0	73.52728	23.30009	
18.353	12.09994	0	63.31721	23.29491	
18.388	12.13444	0	55.9166	23.2897	
18.410	12.1576	0	34.48822	23.29424	
18.428	12.17588	0	25.67402	23.29634	
18.456	12.20334	0	17.28788	23.29979	
18.476	12.22308	0	2.167515	23.29241	
18.495	12.24197	0	-4.410461	23.28781	
18.518	12.26534	0	-9.834564	23.3081	
18.537	12.28471	0	-15.67136	23.29511	
18.558	12.30566	0	-18.99078	23.29415	
18.578	12.32533	0	-20.28238	23.29691	
18.603	12.3491	0	-20.70435	23.28284	
18.632	12.37872	0	-20.04028	23.29077	
18.654	12.40111	0	-14.77704	23.28087	
18.674	12.42136	0	-7.187897	23.29486	
18.692	12.44014	0	-1.32428	23.29243	
18.714	12.46074	0	4.711673	23.28818	
18.735	12.48265	0	13.91759	23.28012	
18.755	12.50227	0	20.41223	23.27839	
18.785	12.53142	0	30.3313	23.28732	
18.807	12.55464	0	39.93738	23.28502	
18.828	12.57514	0	47.86983	23.28387	
18.850	12.59703	0	51.84208	23.28802	
18.867	12.61438	0	55.10373	23.278	
18.885	12.63196	0	55.88598	23.28163	
18.903	12.65053	0	55.91118	23.28164	
18.924	12.67109	0	55.34887	23.26392	
18.953	12.69957	0	53.99658	23.27383	
18.972	12.71906	0	51.54547	23.28839	
18.992	12.73966	0	47.61923	23.27887	
19.011	12.75836	0	43.85042	23.2844	
19.033	12.77984	0	39.10872	23.29042	
19.053	12.8	0	30.64148	23.29381	
19.071	12.81824	0	24.56699	23.29346	
19.091	12.83868	0	15.81866	23.29956	
19.120	12.86735	0	10.39021	23.29595	
19.157	12.90459	0	-0.08343506	23.29857	
19.177	12.92461	0	-9.126038	23.33412	
19.199	12.94652	0	-12.94269	23.34354	
19.216	12.96382	0	-17.54626	23.29305	
19.226	12.97338	0	-19.83896	23.32066	
19.248	12.9952	0	-20.78534	23.33846	
19.277	13.02434	0	-22.82645	23.33716	
19.298	13.04517	0	-24.13232	23.33562	
19.318	13.06538	0	-24.65906	23.34109	
19.338	13.08558	0	-24.7377	23.3364	
19.358	13.1054	0	-24.21317	23.35592	
19.379	13.12583	0	-23.52222	23.34829	
19.399	13.14701	0	-21.95932	23.37777	
19.427	13.17425	0	-20.71033	23.5162	
19.447	13.19417	0	-18.61484	23.5713	
19.466	13.21356	0	-16.73917	26.15904	
19.490	13.23683	0	-15.66125	26.41988	
19.509	13.25603	0	-14.22366	28.49079	
19.534	13.28089	0	-13.36404	28.49079	
19.555	13.30231	0	-12.2146	28.49079	
19.584	13.33096	0	-11.25119	28.49079	
19.603	13.35007	0	-10.39691	28.49079	
19.622	13.36946	0	-9.736328	28.49079	
19.641	13.38818	0	-9.304047	28.49079	
19.661	13.40765	0	-8.842346	28.49079	
19.681	13.42772	0	-8.44223	28.49079	
19.700	13.44716	0	-7.882507	28.49079	
19.719	13.46444	0	-7.584991	28.49079	
19.744	13.4919	0	-7.34079	28.49079	
19.769	13.51629	0	-6.886871	28.49079	
19.790	13.53703	0	-6.621674	28.49079	
19.809	13.55627	0	-6.371643	28.49079	
19.829	13.57592	0	-6.19165	28.49079	
19.849	13.59595	0	-6.077271	28.49079	
19.869	13.61586	0	-6.029266	28.49079	
19.895	13.64231	0	-5.975403	28.49079	
19.930	13.67719	0	-5.758026	28.49079	
19.949	13.69645	0	-5.710907	28.49079	
19.967	13.71451	0	-5.580536	28.49079	
19.986	13.73362	0	-5.486908	28.49079	
20.005	13.7522	0	-5.306091	28.49079	
20.024	13.77115	0	-5.190186	28.49079	
20.052	13.7993	0	-5.01709	28.49079	
20.072	13.81888	0	-4.829742	28.49079	
20.091	13.83874	0	-4.582123	28.49079	
20.110	13.85773	0	-4.405884	28.49079	
20.132	13.87953	0	-4.33725	28.49079	
20.153	13.89992	0	-4.112701	28.49079	
20.172	13.9187	0	-3.917542	28.49079	
20.189	13.936	0	-3.69046	28.49079	
20.215	13.96201	0	-3.560699	28.49079	
20.234	13.98111	0	-3.317352	28.49079	
20.253	13.99994	0	-3.17038	28.49079	
20.274	14.02193	0	-2.877625	28.49079	
