Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_y	target_z	target_x	hmd_rx	hmd_ry	hmd_rz	
30.983	10.3787	27.06289		1	120	0	0	-0.5000001	0.8660254	0.03287892	0.01124896	-0.02059272	
30.997	10.39315	27.07734		1	120	0	0	-0.5000001	0.8660254	0.0334681	0.01077098	-0.02023258	
31.010	10.40598	27.09016		1	120	0	0	-0.5000001	0.8660254	0.03407381	0.01030155	-0.01990539	
31.024	10.41946	27.10365		1	120	0	0	-0.5000001	0.8660254	0.03469494	0.009832961	-0.01959952	
31.036	10.43161	27.11579		1	120	0	0	-0.5000001	0.8660254	0.0352316	0.009429086	-0.01934582	
31.048	10.44403	27.12821		1	120	0	0	-0.5000001	0.8660254	0.03575487	0.009032982	-0.01910338	
31.061	10.45672	27.14091		1	120	0	0	-0.5000001	0.8660254	0.03634425	0.008589483	-0.0188434	
31.073	10.46941	27.15359		1	120	0	0	-0.5000001	0.8660254	0.0368242	0.00823812	-0.01865219	
31.084	10.48049	27.16468		1	120	0	0	-0.5000001	0.8660254	0.0372753	0.00792573	-0.01850208	
31.097	10.49356	27.17774		1	120	0	0	-0.5000001	0.8660254	0.03771138	0.007638191	-0.01838114	
31.109	10.50523	27.18942		1	120	0	0	-0.5000001	0.8660254	0.03812947	0.007390887	-0.01830712	
31.122	10.51853	27.20271		1	120	0	0	-0.5000001	0.8660254	0.03853907	0.007174204	-0.01827217	
31.134	10.52917	27.21336		1	120	0	0	-0.5000001	0.8660254	0.03900471	0.006962745	-0.01828257	
31.146	10.54204	27.22623		1	120	0	0	-0.5000001	0.8660254	0.03932702	0.006832127	-0.01831296	
31.160	10.55621	27.2404		1	120	0	0	-0.5000001	0.8660254	0.03975366	0.006661516	-0.01835921	
31.172	10.56834	27.25253		1	120	0	0	-0.5000001	0.8660254	0.04015067	0.006503717	-0.01840661	
31.184	10.58047	27.26466		1	120	0	0	-0.5000001	0.8660254	0.04045532	0.006380058	-0.01844162	
31.199	10.59446	27.27864		1	120	0	0	-0.5000001	0.8660254	0.04072645	0.00626515	-0.01846791	
31.209	10.60536	27.28954		1	120	0	0	-0.5000001	0.8660254	0.04100074	0.006148486	-0.01849538	
31.222	10.61841	27.30259		1	120	0	0	-0.5000001	0.8660254	0.04118819	0.006070002	-0.01851662	
31.246	10.64234	27.32653		1	120	0	0	-0.5000001	0.8660254	0.04143279	0.005974326	-0.01855415	
31.260	10.65601	27.3402		1	120	0	0	-0.5000001	0.8660254	0.04176733	0.005891124	-0.01866964	
31.272	10.66868	27.35287		1	120	0	0	-0.5000001	0.8660254	0.04189643	0.0058929	-0.01875916	
31.283	10.67937	27.36355		1	120	0	0	-0.5000001	0.8660254	0.04196969	0.005915036	-0.01883788	
31.297	10.69364	27.37782		1	120	0	0	-0.5000001	0.8660254	0.04201463	0.005940072	-0.01890131	
31.309	10.70489	27.38908		1	120	0	0	-0.5000001	0.8660254	0.0420554	0.005982916	-0.01898546	
31.323	10.71887	27.40306		1	120	0	0	-0.5000001	0.8660254	0.04206287	0.00600865	-0.01902447	
31.337	10.73278	27.41696		1	120	0	0	-0.5000001	0.8660254	0.04203821	0.006023733	-0.01902752	
31.348	10.74432	27.42851		1	120	0	0	-0.5000001	0.8660254	0.04193775	0.006047377	-0.01899026	
31.362	10.75753	27.44171		1	120	0	0	-0.5000001	0.8660254	0.04182921	0.006069406	-0.01894557	
31.373	10.76866	27.45284		1	120	0	0	-0.5000001	0.8660254	0.0416202	0.006102845	-0.01884838	
31.384	10.77995	27.46414		1	120	0	0	-0.5000001	0.8660254	0.04143695	0.006115187	-0.01874157	
31.396	10.79246	27.47664		1	120	0	0	-0.5000001	0.8660254	0.04117671	0.006117311	-0.01857095	
31.410	10.80592	27.4901		1	120	0	0	-0.5000001	0.8660254	0.04088261	0.006098013	-0.01835167	
31.422	10.81862	27.5028		1	120	0	0	-0.5000001	0.8660254	0.04048996	0.006050445	-0.01803397	
31.435	10.83161	27.5158		1	120	0	0	-0.5000001	0.8660254	0.04011031	0.005973535	-0.01769079	
31.450	10.84615	27.53033		1	120	0	0	-0.5000001	0.8660254	0.0395938	0.0058471	-0.01720285	
31.462	10.85812	27.54231		1	120	0	0	-0.5000001	0.8660254	0.03899064	0.00568703	-0.01662765	
31.476	10.87223	27.55641		1	120	0	0	-0.5000001	0.8660254	0.03839808	0.005540223	-0.01608652	
31.487	10.8833	27.56748		1	120	0	0	-0.5000001	0.8660254	0.03764375	0.005375409	-0.01543973	
31.498	10.89386	27.57804		1	120	0	0	-0.5000001	0.8660254	0.03693181	0.005235878	-0.01486304	
31.510	10.90571	27.5899		1	120	0	0	-0.5000001	0.8660254	0.03628851	0.005121388	-0.01436716	
31.522	10.91815	27.60233		1	120	0	0	-0.5000001	0.8660254	0.03544295	0.004978504	-0.01373981	
31.533	10.92882	27.613		1	120	0	0	-0.5000001	0.8660254	0.03452409	0.004836632	-0.01309294	
31.545	10.94063	27.62482		1	120	0	0	-0.5000001	0.8660254	0.03354755	0.004715493	-0.01246083	
31.557	10.9531	27.63728		1	120	0	0	-0.5000001	0.8660254	0.03270156	0.004639188	-0.01196263	
31.568	10.96452	27.6487		1	120	0	0	-0.5000001	0.8660254	0.03145236	0.004586691	-0.01132178	
31.581	10.97736	27.66155		1	120	0	0	-0.5000001	0.8660254	0.03050957	0.004594589	-0.01091123	
31.595	10.99105	27.67523		1	120	0	0	-0.5000001	0.8660254	0.02912514	0.00467865	-0.01041799	
31.606	11.00266	27.68684		1	120	0	0	-0.5000001	0.8660254	0.02770317	0.00483637	-0.01002416	
31.618	11.01406	27.69824		1	120	0	0	-0.5000001	0.8660254	0.02668414	0.004987986	-0.009804729	
31.629	11.0256	27.70979		1	120	0	0	-0.5000001	0.8660254	0.02547372	0.005194086	-0.009593816	
31.642	11.03815	27.72233		1	120	0	0	-0.5000001	0.8660254	0.02425693	0.005433143	-0.009439876	
31.655	11.05181	27.73599		1	120	0	0	-0.5000001	0.8660254	0.02302326	0.005695233	-0.009328543	
31.667	11.06281	27.74699		1	120	0	0	-0.5000001	0.8660254	0.02155662	0.00604268	-0.009266242	
31.681	11.07726	27.76144		1	120	0	0	-0.5000001	0.8660254	0.02028152	0.006380218	-0.009278545	
31.696	11.09161	27.77579		1	120	0	0	-0.5000001	0.8660254	0.01877292	0.006798328	-0.009346236	
31.712	11.10691	27.79109		1	120	0	0	-0.5000001	0.8660254	0.01720265	0.007234763	-0.009454823	
31.725	11.12083	27.80501		1	120	0	0	-0.5000001	0.8660254	0.01532197	0.007730311	-0.009602692	
31.736	11.13232	27.8165		1	120	0	0	-0.5000001	0.8660254	0.01361188	0.00813292	-0.009727411	
31.748	11.14465	27.82883		1	120	0	0	-0.5000001	0.8660254	0.01236533	0.008402156	-0.009817359	
31.759	11.15553	27.83971		1	120	0	0	-0.5000001	0.8660254	0.01083848	0.008703192	-0.009924988	
31.771	11.16715	27.85134		1	120	0	0	-0.5000001	0.8660254	0.009286195	0.00897993	-0.01003486	
31.782	11.17877	27.86295		1	120	0	0	-0.5000001	0.8660254	0.007713533	0.009226325	-0.0101417	
31.795	11.19112	27.8753		1	120	0	0	-0.5000001	0.8660254	0.006126199	0.009439806	-0.01024392	
31.810	11.20633	27.89051		1	120	0	0	-0.5000001	0.8660254	0.00453261	0.009622258	-0.01034503	
31.823	11.2194	27.90358		1	120	0	0	-0.5000001	0.8660254	0.002659241	0.009812744	-0.01048197	
31.834	11.23031	27.91449		1	120	0	0	-0.5000001	0.8660254	0.0007888945	0.009972044	-0.01063202	
31.847	11.2434	27.92758		1	120	0	0	-0.5000001	0.8660254	-0.0005415855	0.01007143	-0.0107527	
31.858	11.25415	27.93834		1	120	0	0	-0.5000001	0.8660254	-0.002380164	0.01018393	-0.01093149	
31.871	11.26651	27.95069		1	120	0	0	-0.5000001	0.8660254	-0.003658772	0.010254	-0.0110749	
31.884	11.28024	27.96442		1	120	0	0	-0.5000001	0.8660254	-0.005155588	0.01033426	-0.01127104	
31.900	11.2962	27.98038		1	120	0	0	-0.5000001	0.8660254	-0.006820397	0.01040947	-0.01151071	
31.914	11.31021	27.99439		1	120	0	0	-0.5000001	0.8660254	-0.008636914	0.01047286	-0.01179604	
31.928	11.32371	28.0079		1	120	0	0	-0.5000001	0.8660254	-0.01016503	0.01048688	-0.01202527	
31.942	11.33826	28.02244		1	120	0	0	-0.5000001	0.8660254	-0.0116315	0.01046002	-0.01222765	
31.954	11.35009	28.03427		1	120	0	0	-0.5000001	0.8660254	-0.01301171	0.01040459	-0.01240968	
31.968	11.36377	28.04795		1	120	0	0	-0.5000001	0.8660254	-0.01410329	0.01032366	-0.0125273	
31.981	11.37691	28.06109		1	120	0	0	-0.5000001	0.8660254	-0.01526183	0.01020064	-0.01262502	
31.993	11.38939	28.07357		1	120	0	0	-0.5000001	0.8660254	-0.01629841	0.01005176	-0.01268083	
32.007	11.40285	28.08703		1	120	0	0	-0.5000001	0.8660254	-0.01709756	0.009929916	-0.01272608	
32.017	11.41341	28.0976		1	120	0	0	-0.5000001	0.8660254	-0.01788422	0.009765271	-0.01272411	
32.031	11.42697	28.11115		1	120	0	0	-0.5000001	0.8660254	-0.01833891	0.009651313	-0.01270384	
32.044	11.44084	28.12502		1	120	0	0	-0.5000001	0.8660254	-0.01881874	0.009501654	-0.01264932	
32.059	11.4547	28.13888		1	120	0	0	-0.5000001	0.8660254	-0.01912997	0.009373909	-0.01257784	
32.071	11.46687	28.15105		1	120	0	0	-0.5000001	0.8660254	-0.01930127	0.009277593	-0.01250698	
32.084	11.47946	28.16365		1	120	0	0	-0.5000001	0.8660254	-0.01940337	0.009189432	-0.01242699	
32.097	11.49316	28.17734		1	120	0	0	-0.5000001	0.8660254	-0.01939321	0.009126884	-0.01234677	
32.110	11.50648	28.19066		1	120	0	0	-0.5000001	0.8660254	-0.01924093	0.009070315	-0.01223364	
32.122	11.51841	28.20259		1	120	0	0	-0.5000001	0.8660254	-0.0189824	0.009042364	-0.01212652	
32.135	11.53096	28.21515		1	120	0	0	-0.5000001	0.8660254	-0.01862869	0.009021947	-0.0120037	
32.148	11.54401	28.22819		1	120	0	0	-0.5000001	0.8660254	-0.01812958	0.008984811	-0.0118237	
32.161	11.55764	28.24182		1	120	0	0	-0.5000001	0.8660254	-0.01766427	0.008929812	-0.01163474	
32.175	11.5715	28.25568		1	120	0	0	-0.5000001	0.8660254	-0.01711421	0.008830967	-0.01137506	
32.189	11.58477	28.26895		1	120	0	0	-0.5000001	0.8660254	-0.01657491	0.00869693	-0.01108097	
32.202	11.5984	28.28259		1	120	0	0	-0.5000001	0.8660254	-0.01605218	0.008529721	-0.01075664	
32.215	11.61087	28.29505		1	120	0	0	-0.5000001	0.8660254	-0.01561641	0.00836202	-0.01045697	
32.227	11.62316	28.30734		1	120	0	0	-0.5000001	0.8660254	-0.01513469	0.008157559	-0.01010825	
32.239	11.63523	28.31941		1	120	0	0	-0.5000001	0.8660254	-0.01473937	0.008000597	-0.009838982	
32.252	11.64834	28.33252		1	120	0	0	-0.5000001	0.8660254	-0.01436933	0.007863535	-0.009601695	
32.267	11.66279	28.34697		1	120	0	0	-0.5000001	0.8660254	-0.01402396	0.007753995	-0.00940432	
32.280	11.67566	28.35984		1	120	0	0	-0.5000001	0.8660254	-0.01360575	0.007659743	-0.00921302	
32.293	11.68878	28.37296		1	120	0	0	-0.5000001	0.8660254	-0.01332433	0.007634937	-0.009130732	
32.306	11.7018	28.38598		1	120	0	0	-0.5000001	0.8660254	-0.01300482	0.007643011	-0.009080703	
32.318	11.71456	28.39875		1	120	0	0	-0.5000001	0.8660254	-0.01272503	0.007682843	-0.009076019	
32.332	11.72813	28.41231		1	120	0	0	-0.5000001	0.8660254	-0.0124337	0.007749166	-0.009101128	
32.345	11.74168	28.42586		1	120	0	0	-0.5000001	0.8660254	-0.01207527	0.007865753	-0.009174393	
32.357	11.75368	28.43786		1	120	0	0	-0.5000001	0.8660254	-0.01169391	0.008055759	-0.00933155	
32.370	11.76631	28.45049		1	120	0	0	-0.5000001	0.8660254	-0.01135861	0.008275902	-0.009534394	
32.384	11.7799	28.46408		1	120	0	0	-0.5000001	0.8660254	-0.01099676	0.008560696	-0.009812308	
32.396	11.79187	28.47605		1	120	0	0	-0.5000001	0.8660254	-0.01049874	0.008973164	-0.01022603	
32.397		28.47605	1	2			0.8660254	-2.185569E-08	0.5	-0.009944335	0.009404867	-0.01066331	
